tipo_proyecto
Aumento de Recurso Hídrico
Optimización
Mejora en trasvase de agua entre sistemas de abastecimiento
Mejora en Almacenamiento
Sustitución de tuberías
Mantenimiento Correctivo y Preventivo
Regularización jurídica de infraestructura y terrenos
Ordenamiento comercial
Relación con ASADAS y terceros
